date_GMT,home_team_name,away_team_name,home_team_goal_count,away_team_goal_count,home_team_yellow_cards,home_team_possession,away_team_possession,home_team_shots_on_target,away_team_shots_on_target,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_shots,away_team_shots,home_team_fouls,away_team_fouls
Sep 11 2018 - 4:00pm,Qatar,Palestine,3,0,0,58,42,7,6,0,0,0,15,9,9,12
Sep 11 2018 - 4:00pm,Jordan,Oman,0,0,0,50,50,0,3,0,0,0,3,6,10,13
Sep 11 2018 - 6:45pm,Poland,Republic of Ireland,1,1,0,59,41,6,3,0,0,0,14,8,10,5
Sep 11 2018 - 6:45pm,Northern Ireland,Israel,3,0,0,53,47,8,3,0,1,0,16,6,9,6
Sep 11 2018 - 7:00pm,England,Switzerland,1,0,1,48,52,6,3,0,1,0,13,11,13,15
Sep 12 2018 - 12:00am,Colombia,Argentina,0,0,4,52,48,3,6,0,3,0,9,13,16,12
Sep 12 2018 - 12:30am,USMNT,Mexico,1,0,3,47,53,4,5,0,1,1,13,13,11,11
Sep 12 2018 - 12:30am,Brazil,El Salvador,5,0,2,62,38,12,0,0,2,0,19,5,9,5
Sep 12 2018 - 1:00am,Panama,Venezuela,0,2,2,51,49,5,9,0,3,0,7,13,14,23
Sep 12 2018 - 1:05am,Ecuador,Guatemala,2,0,3,55,45,6,6,0,0,0,13,8,19,10
Oct 10 2018 - 6:00pm,Albania,Jordan,0,0,2,67,33,2,0,0,4,0,11,3,14,23
Oct 10 2018 - 6:45pm,Italy,Ukraine,1,1,2,63,37,9,6,0,2,0,20,11,11,12
Oct 11 2018 - 12:00pm,Hong Kong,Thailand,0,1,3,51,49,7,3,0,3,0,17,10,12,11
Oct 11 2018 - 4:00pm,Kuwait,Lebanon,1,0,2,59,41,4,2,0,2,0,12,7,10,11
Oct 11 2018 - 4:15pm,Bahrain,Syria,0,1,0,50,50,3,4,0,0,0,8,13,12,17
Oct 11 2018 - 5:30pm,Turkey,Bosnia-Herzegovina,0,0,0,60,40,3,4,0,1,0,18,13,10,11
Oct 11 2018 - 6:00pm,Iraq,Argentina,0,4,2,27,73,0,11,0,0,0,5,15,16,7
Oct 11 2018 - 6:45pm,Wales,Spain,1,4,0,31,69,4,8,0,0,0,9,13,10,8
Oct 11 2018 - 7:00pm,France,Iceland,2,2,1,63,37,8,11,0,5,0,22,18,6,9
Oct 11 2018 - 11:30pm,USMNT,Colombia,2,4,2,41,59,3,8,0,1,0,4,15,9,13
Oct 12 2018 - 1:30am,Mexico,Costa Rica,3,2,2,55,45,7,4,0,3,0,12,7,16,15
Oct 12 2018 - 10:35am,Japan,Panama,3,0,0,48,52,7,3,0,0,0,16,8,21,8
Oct 12 2018 - 11:00am,South Korea,Uruguay,2,1,0,50,50,5,3,0,3,0,10,15,-1,-1
Oct 12 2018 - 11:30am,Singapore,Mongolia,2,0,2,63,37,12,2,0,1,0,23,4,14,17
Oct 12 2018 - 3:30pm,Qatar,Ecuador,4,3,1,48,52,8,7,0,3,2,13,9,11,10
Oct 12 2018 - 6:00pm,Saudi Arabia,Brazil,0,2,1,41,59,0,8,1,0,0,9,18,12,12
Oct 13 2018 - 12:30am,Peru,Chile,3,0,0,51,49,8,4,0,0,0,14,8,12,15
Oct 13 2018 - 2:00pm,Uzbekistan,North Korea,2,0,0,60,40,10,4,0,0,0,20,4,6,13
Oct 13 2018 - 3:30pm,Philippines,Oman,1,1,0,50,50,3,9,0,0,0,5,20,4,13
Oct 14 2018 - 4:00pm,Scotland,Portugal,1,3,0,50,50,3,8,0,1,0,12,14,8,11
Oct 15 2018 - 4:30pm,Kuwait,Australia,0,4,0,47,53,4,12,0,1,0,7,19,3,18
Oct 15 2018 - 6:00pm,Saudi Arabia,Iraq,1,1,0,59,41,3,7,0,2,0,6,12,14,19
Oct 15 2018 - 6:45pm,Croatia,Jordan,2,1,3,57,43,7,4,0,2,0,17,8,25,15
